source,query,title,authors,year,publication_date,venue,abstract,doi,url,date_found,paper_id
OpenAlex,Polymarket,Adaptive Auto-Harness: Sustained Self-Improvement for Agentic System Deployment on Open-Ended Task Streams,"Zewen Liu, Zhan Shi, Yisi Sang, Bing He, Minhua Lin, Tianxin Wei, Dakuo Wang, Benoit Dumoulin, Wei Jin, Hanqing Lu",2026,2026-06-01,ArXiv.org,"Agentic systems deployed in real-world scenarios face dynamic environments and open-ended task streams, where an initial, static model quickly becomes outdated. Existing approaches often rely on human feedback or carefully curated datasets for fine-tuning, which are costly, slow, and cannot keep pace with continuous changes. We introduce Adaptive Auto-Harness (AAH), a novel framework for sustained self-improvement of agentic systems on open-ended task streams. AAH operates through an iterative cycle: it (1) automatically generates diverse, challenging tasks reflective of current operational needs, (2) uses an innovative self-evaluation mechanism to identify limitations and failure modes of the current agent, and (3) leverages a powerful self-refinement module to generate improved agentic policies without human intervention. A key innovation of AAH is its adaptive task generation and self-evaluation, which dynamically adjust to the evolving capabilities of the agent and the characteristics of the task stream, preventing stagnation and ensuring continuous growth. We validate AAH on a suite of complex, open-ended agentic benchmarks, demonstrating its ability to significantly outperform static baselines and human-supervised fine-tuning methods in terms of robustness, adaptability, and long-term performance across diverse and continuously evolving task distributions. Our results highlight the potential of AAH to enable truly autonomous and self-improving agentic systems capable of indefinite operation in dynamic real-world environments.",,https://openalex.org/W7163719751,2026-06-09,adaptive auto-harness: sustained self-improvement for agentic system deployment on open-ended task streams
OpenAlex,Polymarket,Benchmarking Security Risk Detection and Verification in Open Agentic Skill Ecosystems,"Ismail Hossain, Sai Puppala, Zhuoran Lu, Sajedul Talukder, Nan Jiang",2026,2026-05-30,ArXiv.org,"The rapid evolution of open agentic skill ecosystems, where autonomous agents dynamically discover, integrate, and execute skills from diverse, untrusted sources, introduces unprecedented security challenges. This paper presents a comprehensive benchmarking framework designed to evaluate the efficacy of security risk detection and verification mechanisms within these ecosystems. We categorize potential risks into several dimensions, including malicious skill injection, data leakage, privilege escalation, denial-of-service, and integrity violations, specifically tailored for the unique characteristics of skill-based interactions. Our framework comprises a novel dataset of both benign and intentionally vulnerable skills, spanning various functionalities and programming paradigms commonly found in open ecosystems. We propose a suite of quantitative metrics to assess the precision, recall, F1-score, and latency of security analysis tools, alongside qualitative measures for explainability and actionable insights. Through extensive experimentation with state-of-the-art static analysis, dynamic analysis, and machine learning-based detection techniques, we identify critical vulnerabilities and performance bottlenecks in existing approaches. The findings highlight the significant gap between current security tools and the complex, dynamic nature of open agentic skill ecosystems, underscoring the urgent need for more robust, scalable, and intelligent security solutions that can adapt to evolving threats and maintain trust in these decentralized environments.",,https://openalex.org/W7163597012,2026-06-09,benchmarking security risk detection and verification in open agentic skill ecosystems
Crossref,Polymarket,Resolution-Aware Perpetual Futures on Binary Prediction Markets: An Empirical Risk-Design Framework Using Polymarket Data,Maksym Nechepurenko,2026,,,"We develop and counterfactually evaluate a resolution-aware risk-design framework (PIRAP) for perpetual futures whose underlying tracks a single binary prediction-market probability through resolution. The framework specifies six components: an index estimator combining mid-price, depth-weighted mid, and time-decayed VWAP; jump-aware tiered margin sized against bounded-event terminal-collapse magnitude; leverage compression schedule contracting toward resolution; resolution-aware funding rule with boundary-aware correction; a multi-stage halt protocol; and an eligibility framework. Two formal non-portability propositions establish that standard basis-only funding paired with continuous-vol static margin fails on bounded-event underlyings. Empirical evaluation uses Polymarket's PMXT v2 archive for 2026-04-21 to 2026-04-27 (13,298-market analysis sample passing adequacy gates from 61,087 ingested; 13,115 resolved within the empirical window for E3). E1 evaluates two pre-registered stylized facts; E2 conducts counterfactual replay across three engine configurations; E3 isolates the resolution-zone protocol's contribution. Results are mixed. Five pre-registered floors: stylized-fact floors (boundary depth asymmetry, terminal-jump magnitude) PASS; welfare-side directional floors (final-hour liquidation -6%, drawdown -5.1% pooled, median PnL +14%) two FAIL one PASS; E3 mechanic floors (final-hour liquidation -80% by halt construction PASS; bad-debt frequency +2.4% FAIL). Three of five materiality floors fail: the framework as specified does not validate deployment, but the empirical record establishes a halt-versus-margin scope distinction (halt addresses execution-channel risk; terminal-jump bad-debt remains margin-side) and documents a pre-emption trade-off constraining the dynamic-margin component. The paper concludes with structural recommendations and explicit non-deployable status.",10.2139/ssrn.6748278,https://doi.org/10.2139/ssrn.6748278,2026-06-09,10.2139/ssrn.6748278
Crossref,Polymarket,Who Wins and Who Loses In Prediction Markets? Evidence from Polymarket,"Pat Akey, Vincent Gregoire, Nicolas Harvie, Charles Martineau",2026,,,"We study trading gains and losses on Polymarket, the world’s largest prediction market platform. Our comprehensive dataset spans 2022 to 2026, covering more than 2.4 million users, $67 billion in volume, and 588 million trades. We document a striking profit concentration: the top 1% of users capture 76.5% of all trading gains. Despite this concentration, prices are well-calibrated and aggregate information efficiently. Gains flow almost entirely to sophisticated traders who trade using limit orders at prices that are advantageous relative to realized outcomes. Losses, by contrast, are associated primarily with liquidity-taking; longshot betting (trading at extreme prices) is a descriptive marker of losers but plays a smaller role once we control for activity scale. For roughly one in five losers, the lower-bound cost of taking liquidity alone is enough to flip their PnL from negative to positive. Monthly performance is only weakly persistent, however, so this cross-sectional pattern may reflect heterogeneous trading conditions or selection rather than persistent skill. Our results suggest that the informational benefits of prediction markets come at a cost to unsophisticated participants.",10.2139/ssrn.6443103,https://doi.org/10.2139/ssrn.6443103,2026-06-09,10.2139/ssrn.6443103
Crossref,Polymarket,What Is the Alpha on Polymarket? A Methodology of Probability Mispricing and a Taxonomy of Eleven Profitable Regimes,Mengxiao Wang,2026,,,"A companion to ""Smart Money on Polymarket"" (Paper I), this paper asks a sharper, methodological question: what is the alpha? We argue and document that every profitable wallet in our N = 273 panel is running the same underlying strategy-probability mispricing arbitrage-differing only in (i) which part of the price spectrum the mispricing lives, and (ii) what generates it. We formalise the unifying framework, decompose the eleven empirical regimes documented in Paper I onto four alpha sources-slow information assimilation, behavioural biases, microstructure inefficiency, and cross-market inconsistency-and show that aggregate profits map cleanly onto these sources. The slow-information bucket alone accounts for ∼ $140M of the $177M total realised PnL in our panel, dominated by Politics specialists holding underpriced high-probability YES shares to a $1 resolution payoff. Behavioural-bias arbitrage (long-shot, contrarian) is small in absolute PnL but the highest-Sharpe bucket. Microstructure (HFT/MM) and cross-market (sports model, weather model) buckets contribute moderately. The single useful insight for a practitioner is unambiguous: Polymarket is not a casino and not a high-frequency arbitrage venue; it is a venue where positive expected value comes exclusively from being correctly contrarian to a measurable mispricing in the implied-probability surface.",10.2139/ssrn.6625018,https://doi.org/10.2139/ssrn.6625018,2026-06-09,10.2139/ssrn.6625018
Crossref,Polymarket,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,"Zichao Yang, Kwok Ping Tsang",2026,,,"Using on-chain Polygon data, we analyze Polymarket's 2024 U.S. Presidential Election market and develop a transaction-level accounting framework with two components: a volume decomposition that separates exchange-equivalent turnover from share minting and burning, and trader-level disagreement measures. Naive aggregation reports $958M of October Trump-market volume, compared with $391M under our decomposition. Market quality improved as arbitrage-deviation half-lives fell from hours to under a minute and Kyle's&amp;nbsp;λ dropped from 0.53 to 0.01. During October's large-account episode, capital flowed into both sides simultaneously, consistent with heterogeneous-beliefs trading rather than one-sided manipulation. The framework generalizes to other tokenized prediction markets.",10.2139/ssrn.6336679,https://doi.org/10.2139/ssrn.6336679,2026-06-09,10.2139/ssrn.6336679
Crossref,Polymarket,"The Polymarket Paradox: Manipulation, Whale Concentration, and Predictive Accuracy in the World's Largest Prediction Market",Muhammad Noraiz Abid,2026,,,"Polymarket processed roughly nine billion dollars in trading volume during 2024 and over three point seven billion dollars on the single 2024 US Presidential Election market alone. The platform produced a final election eve probability of fifty seven percent for Donald Trump that scored a Brier loss of zero point one eight five against an outcome that polling aggregates assigned roughly fifty fifty. It also hosted, simultaneously, the largest documented price impact event in prediction market history. A single French trader operating eleven linked wallets accumulated roughly eighty five million dollars in profit through concentrated directional bets, pushing the Polymarket Trump probability ten to fifteen percentage points above competitor platforms during October. Two oracle resolution disputes in 2025 saw markets totaling more than two hundred and fifty million dollars settle through governance votes that traders alleged were captured by token whales. These facts coexist uncomfortably. We document this paradox using verified anchor probabilities across five episodes spanning June 2024 to July 2025 and ten resolved binary markets for which we have election eve probability anchors directly verifiable in the public record. Polymarket assigned at least fifty percent probability to the eventual winner in seven of ten resolved markets, including six of eight battleground states. Mean Brier score across the ten was zero point two one three, with the headline presidential market at zero point one eight five. Yet the same data show that on individual episodes a single trader could move the headline price by ten percentage points or more, and that the resolution layer was not robust to capital concentration. We argue this is not a contradiction but a feature of the platform's information aggregation mechanism: counter parties have a profit incentive to take the other side of distorted prices, which corrects the average even while leaving individual prints distorted. We document the boundary conditions under which the correction works, where it fails, and what the limits of the platform's claim to be a reliable forecasting tool actually are.",10.2139/ssrn.6670638,https://doi.org/10.2139/ssrn.6670638,2026-06-09,10.2139/ssrn.6670638
Crossref,Polymarket,Exploiting Mean-Reversion in Decentralized Prediction Markets: Evidence from Polymarket Binary Contracts,"Radovan Vojtko, Cyril Dujava",2026,,,"This study examines the profitability of mean-reversion trading strategies applied to binary outcome contracts on Polymarket, the world's largest decentralized prediction market platform. We analyze three distinct contracts representing varying risk profiles: a quasi-risk-free instrument (No to ""Will Jesus Christ return in 2025?"") and two high-yield speculative contracts (No to ""Will China invade Taiwan in 2025?"" and ""Will the US confirm that aliens exist in 2025?""). Using high-frequency price data sampled at 10-minute intervals over approximately one year, we implement a parameterized mean-reversion framework across twelve strategy variants, testing robustness under varying liquidity constraints and transaction cost assumptions. Our findings reveal that while mean-reversion signals generate substantial alpha under passive limit-order execution (zero-spread scenario), strategy performance degrades significantly when more aggressive market orders are accounted for.",10.2139/ssrn.6726362,https://doi.org/10.2139/ssrn.6726362,2026-06-09,10.2139/ssrn.6726362
Crossref,Kalshi,Kalshi and the Rise of Macro Markets,"Anthony M. Diercks, Jared Dean Katz, Jonathan H. Wright",2026,,SSRN Electronic Journal,"This paper describes the economic and financial innovations that the prediction market platform Kalshi has introduced and considers the potential implications for monetary policy and macroeconomic stabilization. By making available markets that allow individuals to bet on the realization of a wide range of macroeconomic events and variables, Kalshi creates opportunities for new forms of hedging and and speculation. It may also provide a valuable source of information regarding expectations of future macroeconomic outcomes and the likely effects of policy interventions. The paper discusses various issues including the structure of Kalshi contracts, the mechanics of market operation, potential uses of these markets, and how they may be regulated.",10.2139/ssrn.6093294,https://doi.org/10.2139/ssrn.6093294,2026-06-09,10.2139/ssrn.6093294
Crossref,Kalshi,Adverse Selection in Prediction Markets: Evidence from Kalshi,"Robert Bartlett, Maureen O'Hara",2026,,,"Using 41.6 million trades, we measure adverse selection in prediction markets. Adapting Kyle's λ and the Glosten-Harris decomposition, we show single-name markets exhibit greater informed price impact than broad-based markets. Despite this, effective spreads are only modestly wider, and market makers earn twice as much per contract. A frequency-magnitude decomposition resolves this puzzle: traders systematically overbet YES in markets that predominantly settle NO, generating a behavioral surplus that cross-subsidizes adverse selection. Adapting the VPIN toxicity metric, we find that one-sided order flow predicts maker losses in single-name markets but not broad-based markets. Our research suggests a new microstructure equilibrium concept for bilateral settlement markets.",10.2139/ssrn.6615739,https://doi.org/10.2139/ssrn.6615739,2026-06-09,10.2139/ssrn.6615739
